Principle Component 1,Principle Component 2,Principle Component 3,SHUTTLECOCK POSITIION IN AIR(X) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
-0.5970283104038923,-2.214730402567819,1.2002379766430793,4.075542591,1.0,1.662911962
-0.6075286042335253,-2.204693344466236,1.183831589377567,4.152006773,1.0,1.72486637
-0.6180288980631712,-2.1946562863646544,1.1674252021121252,4.228906143,1.0,1.788139098
-0.628529191892818,-2.184619228263079,1.1510188148466736,4.302099746,1.0,1.845244983
-0.6390294857224647,-2.174582170161506,1.13461242758122,4.376877391,1.0,1.904127726
-0.6495297795521113,-2.1645451120599324,1.1182060403157665,4.449410593,1.0,1.962541187
-0.6600300733817582,-2.1545080539583585,1.101799653050313,4.522097914,1.0,2.018857335
-0.6705303672114049,-2.1444709958567847,1.08539326578486,4.595428732,1.0,2.071654009
-0.6810306610410516,-2.1344339377552117,1.0689868785194068,4.668033747,1.0,2.127861644
-0.6915309548706983,-2.124396879653638,1.0525804912539536,4.739584146,1.0,2.178635753
-0.702031248700345,-2.114359821552065,1.0361741039884997,4.809587653,1.0,2.233492954
-0.7125315425299918,-2.104322763450491,1.0197677167230468,4.881531438,1.0,2.28340222
-0.7230318363596384,-2.0942857053489177,1.0033613294575936,4.95120765,1.0,2.332455057
-0.7335321301892854,-2.0842486472473443,0.9869549421921401,5.021340663,1.0,2.379732739
-0.7440324240189319,-2.0742115891457704,0.9705485549266866,5.089209194,1.0,2.430622608
-0.7545327178485786,-2.064174531044197,0.954142167661233,5.158574787,1.0,2.475123289
-0.7650330116782251,-2.054137472942623,0.9377357803957799,5.226182675,1.0,2.522975118
-0.7755333055078718,-2.04410041484105,0.9213293931303266,5.294275267,1.0,2.565753026
-0.7860335993375187,-2.0340633567394764,0.9049230058648727,5.359640471,1.0,2.608968419
-0.7965338931671654,-2.0240262986379025,0.8885166185994198,5.425936189,1.0,2.653999671
-0.8070341869968121,-2.013989240536329,0.8721102313339666,5.491976752,1.0,2.694693412
-0.8175344808264589,-2.0039521824347557,0.8557038440685134,5.555443927,1.0,2.736440902
-0.8280347746561055,-1.9939151243331819,0.8392974568030598,5.619701891,1.0,2.777969097
-0.8385350684857523,-1.9838780662316087,0.8228910695376065,5.686355961,1.0,2.816387675
-0.849035362315399,-1.9738410081300348,0.806484682272153,5.750565811,1.0,2.856549264
-0.8595356561450458,-1.9638039500284619,0.7900782950066998,5.813225022,1.0,2.894873788
-0.8700359499746922,-1.953766891926888,0.7736719077412465,5.87702102,1.0,2.931634222
-0.8805362438043391,-1.9437298338253144,0.7572655204757932,5.93744245,1.0,2.967813503
-0.8910365376339858,-1.9336927757237408,0.7408591332103398,5.998026029,1.0,3.00229617
-0.9015368314636326,-1.9236557176221676,0.7244527459448864,6.06018676,1.0,3.037646513
-0.9120371252932793,-1.9136186595205937,0.708046358679433,6.119851235,1.0,3.071123013
-0.9225374191229259,-1.90358160141902,0.6916399714139801,6.179717661,1.0,3.104296564
-0.9330377129525728,-1.893544543317447,0.6752335841485264,6.239443316,1.0,3.136480762
-0.9435380067822194,-1.883507485215873,0.6588271968830731,6.298751278,1.0,3.170356064
-0.9540383006118661,-1.8734704271142995,0.6424208096176197,6.35754129,1.0,3.200093494
-0.9645385944415128,-1.8634333690127263,0.6260144223521665,6.415799555,1.0,3.228748951
-0.9750388882711596,-1.853396310911153,0.609608035086713,6.474238157,1.0,3.258815171
-0.9855391821008063,-1.8433592528095795,0.5932016478212597,6.530246569,1.0,3.288896296
-0.996039475930453,-1.8333221947080058,0.5767952605558067,6.584370532,1.0,3.315348236
-1.0065397697600997,-1.823285136606432,0.5603888732903531,6.641468727,1.0,3.342570654
-1.0170400635897465,-1.8132480785048588,0.5439824860248998,6.697290025,1.0,3.369862986
-1.027540357419393,-1.8032110204032852,0.5275760987594464,6.751135684,1.0,3.392916604
-1.0380406512490399,-1.7931739623017116,0.5111697114939933,6.803924231,1.0,3.418027204
-1.0485409450786867,-1.7831369042001384,0.4947633242285398,6.858154359,1.0,3.442182052
-1.0590412389083332,-1.7730998460985647,0.4783569369630865,6.911022954,1.0,3.462081522
-1.06954153273798,-1.763062787996991,0.4619505496976333,6.965863746,1.0,3.486002737
-1.0800418265676268,-1.7530257298954173,0.44554416243217976,7.017793031,1.0,3.504532151
-1.0905421203972734,-1.742988671793844,0.4291377751667265,7.06912573,1.0,3.524526313
-1.1010424142269202,-1.732951613692271,0.4127313879012733,7.118604365,1.0,3.543596794
-1.111542708056567,-1.7229145555906968,0.39632500063581994,7.16998568,1.0,3.564259625
-1.1220430018862133,-1.7128774974891234,0.37991861337036653,7.220082278,1.0,3.580330713
-1.13254329571586,-1.7028404393875503,0.36351222610491324,7.268251588,1.0,3.596466385
-1.1430435895455067,-1.6928033812859766,0.34710583883945983,7.318120937,1.0,3.612633423
-1.1535438833751535,-1.6827663231844026,0.3306994515740066,7.367571356,1.0,3.624884021
-1.1640441772048,-1.6727292650828294,0.3142930643085534,7.414373328,1.0,3.637442719
-1.174544471034447,-1.662692206981256,0.2978866770430999,7.462860659,1.0,3.651028645
-1.1850447648640938,-1.652655148879682,0.2814802897776467,7.508528734,1.0,3.66281677
-1.1955450586937404,-1.6426180907781087,0.2650739025121934,7.55456399,1.0,3.670795919
-1.206045352523387,-1.6325810326765355,0.2486675152467402,7.600386555,1.0,3.680116652
-1.2165456463530337,-1.622543974574962,0.23226112798128679,7.645639739,1.0,3.689246186
-1.2270459401826805,-1.6125069164733883,0.21585474071583358,7.689013866,1.0,3.695125529
-1.2375462340123276,-1.6024698583718149,0.19944835345037998,7.733527074,1.0,3.698971408
-1.2480465278419741,-1.5924328002702413,0.1830419661849266,7.776838472,1.0,3.704279934
-1.2585468216716205,-1.5823957421686676,0.16663557891947356,7.82095767,1.0,3.707068057
