Principle Component 1,Principle Component 2,Principle Component 3,SHUTTLECOCK POSITIION IN AIR(X) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
-0.5097482785707395,0.16022858597150247,2.541546705754853,4.075542591,1.0,1.662911962
-0.5202040986447167,0.16153753868409962,2.523210820792749,4.152006773,1.0,1.72486637
-0.5306599187186394,0.16284649139657958,2.504874935830494,4.228906143,1.0,1.788139098
-0.5411157387926434,0.16415544410915128,2.486539050868527,4.302099746,1.0,1.845244983
-0.5515715588666016,0.16546439682167807,2.4682031659063997,4.376877391,1.0,1.904127726
-0.5620273789405613,0.16677334953420656,2.449867280944277,4.449410593,1.0,1.962541187
-0.5724831990145212,0.16808230224673507,2.4315313959821543,4.522097914,1.0,2.018857335
-0.5829390190884809,0.16939125495926358,2.4131955110200316,4.595428732,1.0,2.071654009
-0.5933948391624406,0.17070020767179203,2.3948596260579094,4.668033747,1.0,2.127861644
-0.6038506592364005,0.1720091603843205,2.376523741095787,4.739584146,1.0,2.178635753
-0.61430647931036,0.17331811309684877,2.3581878561336636,4.809587653,1.0,2.233492954
-0.6247622993843198,0.17462706580937734,2.3398519711715418,4.881531438,1.0,2.28340222
-0.6352181194582794,0.17593601852190582,2.3215160862094186,4.95120765,1.0,2.332455057
-0.6456739395322393,0.1772449712344343,2.303180201247296,5.021340663,1.0,2.379732739
-0.6561297596061987,0.17855392394696262,2.2848443162851737,5.089209194,1.0,2.430622608
-0.6665855796801585,0.17986287665949108,2.266508431323051,5.158574787,1.0,2.475123289
-0.6770413997541183,0.18117182937201964,2.2481725463609283,5.226182675,1.0,2.522975118
-0.6874972198280781,0.1824807820845483,2.229836661398806,5.294275267,1.0,2.565753026
-0.6979530399020376,0.1837897347970766,2.2115007764366825,5.359640471,1.0,2.608968419
-0.7084088599759973,0.18509868750960512,2.1931648914745607,5.425936189,1.0,2.653999671
-0.718864680049957,0.18640764022213357,2.174829006512438,5.491976752,1.0,2.694693412
-0.7293205001239165,0.18771659293466178,2.1564931215503154,5.555443927,1.0,2.736440902
-0.7397763201978763,0.1890255456471904,2.138157236588193,5.619701891,1.0,2.777969097
-0.7502321402718362,0.1903344983597189,2.1198213516260704,5.686355961,1.0,2.816387675
-0.7606879603457959,0.19164345107224726,2.101485466663948,5.750565811,1.0,2.856549264
-0.7711437804197555,0.19295240378477577,2.083149581701825,5.813225022,1.0,2.894873788
-0.7815996004937155,0.19426135649730444,2.0648136967397033,5.87702102,1.0,2.931634222
-0.7920554205676751,0.19557030920983282,2.04647781177758,5.93744245,1.0,2.967813503
-0.8025112406416348,0.1968792619223612,2.0281419268154575,5.998026029,1.0,3.00229617
-0.8129670607155942,0.1981882146348895,2.009806041853335,6.06018676,1.0,3.037646513
-0.8234228807895541,0.19949716734741818,1.9914701568912128,6.119851235,1.0,3.071123013
-0.8338787008635138,0.2008061200599466,1.9731342719290899,6.179717661,1.0,3.104296564
-0.8443345209374735,0.20211507277247504,1.9547983869669672,6.239443316,1.0,3.136480762
-0.8547903410114334,0.20342402548500352,1.9364625020048445,6.298751278,1.0,3.170356064
-0.8652461610853929,0.20473297819753206,1.9181266170427222,6.35754129,1.0,3.200093494
-0.8757019811593526,0.20604193091006048,1.8997907320805996,6.415799555,1.0,3.228748951
-0.8861578012333123,0.20735088362258886,1.8814548471184767,6.474238157,1.0,3.258815171
-0.8966136213072721,0.2086598363351174,1.8631189621563546,6.530246569,1.0,3.288896296
-0.9070694413812315,0.2099687890476458,1.8447830771942317,6.584370532,1.0,3.315348236
-0.9175252614551914,0.21127774176017433,1.8264471922321095,6.641468727,1.0,3.342570654
-0.927981081529151,0.2125866944727028,1.8081113072699866,6.697290025,1.0,3.369862986
-0.9384369016031109,0.21389564718523127,1.7897754223078646,6.751135684,1.0,3.392916604
-0.9488927216770706,0.21520459989775984,1.771439537345742,6.803924231,1.0,3.418027204
-0.9593485417510301,0.21651355261028812,1.7531036523836194,6.858154359,1.0,3.442182052
-0.9698043618249902,0.21782250532281675,1.7347677674214967,6.911022954,1.0,3.462081522
-0.9802601818989495,0.21913145803534512,1.716431882459374,6.965863746,1.0,3.486002737
-0.9907160019729094,0.22044041074787363,1.6980959974972516,7.017793031,1.0,3.504532151
-1.001171822046869,0.2217493634604019,1.6797601125351287,7.06912573,1.0,3.524526313
-1.011627642120829,0.22305831617293054,1.661424227573006,7.118604365,1.0,3.543596794
-1.0220834621947885,0.22436726888545894,1.6430883426108838,7.16998568,1.0,3.564259625
-1.032539282268748,0.22567622159798736,1.6247524576487609,7.220082278,1.0,3.580330713
-1.0429951023427078,0.22698517431051587,1.6064165726866388,7.268251588,1.0,3.596466385
-1.0534509224166675,0.2282941270230443,1.588080687724516,7.318120937,1.0,3.612633423
-1.0639067424906274,0.22960307973557284,1.5697448027623935,7.367571356,1.0,3.624884021
-1.0743625625645865,0.23091203244810124,1.551408917800271,7.414373328,1.0,3.637442719
-1.0848183826385467,0.23222098516062983,1.5330730328381488,7.462860659,1.0,3.651028645
-1.0952742027125066,0.2335299378731582,1.514737147876026,7.508528734,1.0,3.66281677
-1.1057300227864661,0.23483889058568674,1.4964012629139036,7.55456399,1.0,3.670795919
-1.1161858428604257,0.23614784329821517,1.4780653779517803,7.600386555,1.0,3.680116652
-1.1266416629343854,0.23745679601074357,1.4597294929896578,7.645639739,1.0,3.689246186
-1.1370974830083451,0.23876574872327205,1.4413936080275358,7.689013866,1.0,3.695125529
-1.1475533030823046,0.24007470143580045,1.4230577230654127,7.733527074,1.0,3.698971408
-1.1580091231562646,0.24138365414832913,1.404721838103291,7.776838472,1.0,3.704279934
-1.168464943230224,0.24269260686085742,1.3863859531411677,7.82095767,1.0,3.707068057
-1.1789207633041838,0.24400155957338607,1.3680500681790457,7.862064263,1.0,3.706719248
-1.1893765833781436,0.24531051228591433,1.3497141832169226,7.90495593,1.0,3.707658036
-1.1998324034521033,0.24661946499844298,1.3313782982548004,7.948415574,1.0,3.707038158
-1.210288223526063,0.2479284177109714,1.3130424132926775,7.989210706,1.0,3.702223142
-1.2207440436000228,0.24923737042349975,1.2947065283305548,8.027907904,1.0,3.698333963
-1.2311998636739823,0.2505463231360282,1.2763706433684325,8.068160272,1.0,3.694929485
-1.2416556837479422,0.2518552758485568,1.25803475840631,8.108056286,1.0,3.688289504
-1.252111503821902,0.2531642285610852,1.2396988734441874,8.145491556,1.0,3.680275265
-1.2625673238958617,0.2544731812736136,1.2213629884820647,8.186071358,1.0,3.667968785
-1.2730231439698212,0.25578213398614214,1.2030271035199422,8.221897737,1.0,3.656012629
-1.2834789640437807,0.2570910866986705,1.1846912185578196,8.260950794,1.0,3.641974691
-1.2939347841177409,0.2584000394111991,1.1663553335956973,8.295601754,1.0,3.628153622
-1.3043906041917002,0.25970899212372744,1.1480194486335742,8.331946347,1.0,3.61024854
-1.3148464242656601,0.261017944836256,1.129683563671452,8.367542323,1.0,3.592537345
-1.32530224433962,0.2623268975487844,1.1113476787093295,8.404273343,1.0,3.572104075
-1.3357580644135794,0.263635850261313,1.093011793747207,8.436991584,1.0,3.548603319
-1.3462138844875393,0.2649448029738415,1.0746759087850848,8.4720889,1.0,3.524529156
